Room,Room_j,Distance
ER1,ER1,0.0
ER1,ER2,0.5
ER1,ER3,1.5
ER1,ER4,2.5
ER1,ER5,4.0
ER1,ER6,4.7
ER1,ER7,2.0
ER1,ER8,3.0
ER1,ER9,4.7
ER1,ER10,4.1
ER1,ER11,3.3
ER1,ER12,1.5
ER1,ER13,3.0
ER1,ER14,6.1
ER1,ER15,11.5
ER1,ER16,12.0
ER2,ER1,0.5
ER2,ER2,0.0
ER2,ER3,1.0
ER2,ER4,2.0
ER2,ER5,3.5
ER2,ER6,4.2
ER2,ER7,1.5
ER2,ER8,2.5
ER2,ER9,4.2
ER2,ER10,3.6
ER2,ER11,2.8
ER2,ER12,2.0
ER2,ER13,3.5
ER2,ER14,5.6
ER2,ER15,11.0
ER2,ER16,11.5
ER3,ER1,1.5
ER3,ER2,1.0
ER3,ER3,0.0
ER3,ER4,1.0
ER3,ER5,2.5
ER3,ER6,3.2
ER3,ER7,0.5
ER3,ER8,1.5
ER3,ER9,3.2
ER3,ER10,2.6
ER3,ER11,1.8
ER3,ER12,3.0
ER3,ER13,4.5
ER3,ER14,4.6
ER3,ER15,10.0
ER3,ER16,10.5
ER4,ER1,2.5
ER4,ER2,2.0
ER4,ER3,1.0
ER4,ER4,0.0
ER4,ER5,1.5
ER4,ER6,2.2
ER4,ER7,1.5
ER4,ER8,1.5
ER4,ER9,2.2
ER4,ER10,1.6
ER4,ER11,2.8
ER4,ER12,4.0
ER4,ER13,5.5
ER4,ER14,3.6
ER4,ER15,9.0
ER4,ER16,9.5
ER5,ER1,4.0
ER5,ER2,3.5
ER5,ER3,2.5
ER5,ER4,1.5
ER5,ER5,0.0
ER5,ER6,0.7
ER5,ER7,3.0
ER5,ER8,3.0
ER5,ER9,2.5
ER5,ER10,3.1
ER5,ER11,4.3
ER5,ER12,5.5
ER5,ER13,6.0
ER5,ER14,3.9
ER5,ER15,7.5
ER5,ER16,8.0
ER6,ER1,4.7
ER6,ER2,4.2
ER6,ER3,3.2
ER6,ER4,2.2
ER6,ER5,0.7
ER6,ER6,0.0
ER6,ER7,3.7
ER6,ER8,3.7
ER6,ER9,3.2
ER6,ER10,3.8
ER6,ER11,5.0
ER6,ER12,6.2
ER6,ER13,6.7
ER6,ER14,4.6
ER6,ER15,6.8
ER6,ER16,7.3
ER7,ER1,2.0
ER7,ER2,1.5
ER7,ER3,0.5
ER7,ER4,1.5
ER7,ER5,3.0
ER7,ER6,3.7
ER7,ER7,0.0
ER7,ER8,1.0
ER7,ER9,2.7
ER7,ER10,2.1
ER7,ER11,1.3
ER7,ER12,2.5
ER7,ER13,4.0
ER7,ER14,4.1
ER7,ER15,9.5
ER7,ER16,10.0
ER8,ER1,3.0
ER8,ER2,2.5
ER8,ER3,1.5
ER8,ER4,1.5
ER8,ER5,3.0
ER8,ER6,3.7
ER8,ER7,1.0
ER8,ER8,0.0
ER8,ER9,1.7
ER8,ER10,1.1
ER8,ER11,1.3
ER8,ER12,2.5
ER8,ER13,4.0
ER8,ER14,3.1
ER8,ER15,8.5
ER8,ER16,9.0
ER9,ER1,4.7
ER9,ER2,4.2
ER9,ER3,3.2
ER9,ER4,2.2
ER9,ER5,2.5
ER9,ER6,3.2
ER9,ER7,2.7
ER9,ER8,1.7
ER9,ER9,0.0
ER9,ER10,0.6
ER9,ER11,1.8
ER9,ER12,3.2
ER9,ER13,5.7
ER9,ER14,1.4
ER9,ER15,6.8
ER9,ER16,7.3
ER10,ER1,4.1
ER10,ER2,3.6
ER10,ER3,2.6
ER10,ER4,1.6
ER10,ER5,3.1
ER10,ER6,3.8
ER10,ER7,2.1
ER10,ER8,1.1
ER10,ER9,0.6
ER10,ER10,0.0
ER10,ER11,1.2
ER10,ER12,2.6
ER10,ER13,5.1
ER10,ER14,2.0
ER10,ER15,7.4
ER10,ER16,7.9
ER11,ER1,3.3
ER11,ER2,2.8
ER11,ER3,1.8
ER11,ER4,2.8
ER11,ER5,4.3
ER11,ER6,5.0
ER11,ER7,1.3
ER11,ER8,1.3
ER11,ER9,1.8
ER11,ER10,1.2
ER11,ER11,0.0
ER11,ER12,1.8
ER11,ER13,4.3
ER11,ER14,2.8
ER11,ER15,8.2
ER11,ER16,8.7
ER12,ER1,1.5
ER12,ER2,2.0
ER12,ER3,3.0
ER12,ER4,4.0
ER12,ER5,5.5
ER12,ER6,6.2
ER12,ER7,2.5
ER12,ER8,2.5
ER12,ER9,3.2
ER12,ER10,2.6
ER12,ER11,1.8
ER12,ER12,0.0
ER12,ER13,2.5
ER12,ER14,4.6
ER12,ER15,10.0
ER12,ER16,10.5
ER13,ER1,3.0
ER13,ER2,3.5
ER13,ER3,4.5
ER13,ER4,5.5
ER13,ER5,6.0
ER13,ER6,6.7
ER13,ER7,4.0
ER13,ER8,4.0
ER13,ER9,5.7
ER13,ER10,5.1
ER13,ER11,4.3
ER13,ER12,2.5
ER13,ER13,0.0
ER13,ER14,7.1
ER13,ER15,12.5
ER13,ER16,13.0
ER14,ER1,6.1
ER14,ER2,5.6
ER14,ER3,4.6
ER14,ER4,3.6
ER14,ER5,3.9
ER14,ER6,4.6
ER14,ER7,4.1
ER14,ER8,3.1
ER14,ER9,1.4
ER14,ER10,2.0
ER14,ER11,2.8
ER14,ER12,4.6
ER14,ER13,7.1
ER14,ER14,0.0
ER14,ER15,5.4
ER14,ER16,5.9
ER15,ER1,11.5
ER15,ER2,11.0
ER15,ER3,10.0
ER15,ER4,9.0
ER15,ER5,7.5
ER15,ER6,6.8
ER15,ER7,9.5
ER15,ER8,8.5
ER15,ER9,6.8
ER15,ER10,7.4
ER15,ER11,8.2
ER15,ER12,10.0
ER15,ER13,12.5
ER15,ER14,5.4
ER15,ER15,0.0
ER15,ER16,0.5
ER16,ER1,12.0
ER16,ER2,11.5
ER16,ER3,10.5
ER16,ER4,9.5
ER16,ER5,8.0
ER16,ER6,7.3
ER16,ER7,10.0
ER16,ER8,9.0
ER16,ER9,7.3
ER16,ER10,7.9
ER16,ER11,8.7
ER16,ER12,10.5
ER16,ER13,13.0
ER16,ER14,5.9
ER16,ER15,0.5
ER16,ER16,0.0
