Room,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,ER11,ER12,ER13,ER14,ER15,ER16
ER1,0,0.5,1.5,2.5,4,4.7,2,3,4.7,4.1,3.3,1.5,3,6.1,11.5,12
ER2,0.5,0,1,2,3.5,4.2,1.5,2.5,4.2,3.6,2.8,2,3.5,5.6,11,11.5
ER3,1.5,1,0,1,2.5,3.2,0.5,1.5,3.2,2.6,1.8,3,4.5,4.6,10,10.5
ER4,2.5,2,1,0,1.5,2.2,1.5,1.5,2.2,1.6,2.8,4,5.5,3.6,9,9.5
ER5,4,3.5,2.5,1.5,0,0.7,3,3,2.5,3.1,4.3,5.5,6,3.9,7.5,8
ER6,4.7,4.2,3.2,2.2,0.7,0,3.7,3.7,3.2,3.8,5,6.2,6.7,4.6,6.8,7.3
ER7,2,1.5,0.5,1.5,3,3.7,0,1,2.7,2.1,1.3,2.5,4,4.1,9.5,10
ER8,3,2.5,1.5,1.5,3,3.7,1,0,1.7,1.1,1.3,2.5,4,3.1,8.5,9
ER9,4.7,4.2,3.2,2.2,2.5,3.2,2.7,1.7,0,0.6,1.8,3.2,5.7,1.4,6.8,7.3
ER10,4.1,3.6,2.6,1.6,3.1,3.8,2.1,1.1,0.6,0,1.2,2.6,5.1,2,7.4,7.9
ER11,3.3,2.8,1.8,2.8,4.3,5,1.3,1.3,1.8,1.2,0,1.8,4.3,2.8,8.2,8.7
ER12,1.5,2,3,4,5.5,6.2,2.5,2.5,3.2,2.6,1.8,0,2.5,4.6,10,10.5
ER13,3,3.5,4.5,5.5,6,6.7,4,4,5.7,5.1,4.3,2.5,0,7.1,12.5,13
ER14,6.1,5.6,4.6,3.6,3.9,4.6,4.1,3.1,1.4,2,2.8,4.6,7.1,0,5.4,5.9
ER15,11.5,11,10,9,7.5,6.8,9.5,8.5,6.8,7.4,8.2,10,12.5,5.4,0,0.5
ER16,12,11.5,10.5,9.5,8,7.3,10,9,7.3,7.9,8.7,10.5,13,5.9,0.5,0
