iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
1,34001541.6,34001541.6,-99993.8,66,ER14,1
2,33951544.6,33951544.6,-49997.0,295,ER4,2
3,33901554.6,33901554.6,-49990.0,277,ER12,3
4,33861540.0,33861540.0,-40014.6,65,ER14,4
5,33821539.7,33821539.7,-40000.3,389,ER1,5
6,33781553.7,33781553.7,-39986.0,418,ER5,6
7,33751541.7,33751541.7,-30012.0,229,ER14,7
8,33721544.7,33721544.7,-29997.0,317,ER4,8
9,33691547.7,33691547.7,-29997.0,351,ER13,9
10,33661558.2,33661558.2,-29989.5,205,ER15,10
11,33631571.2,33631571.2,-29987.0,333,ER12,11
12,33601574.2,33601574.2,-29997.0,323,ER13,12
13,33571590.6,33571590.6,-29983.6,390,ER9,13
14,33541612.6,33541612.6,-29978.0,189,ER3,14
15,33521600.1,33521600.1,-20012.5,226,ER5,15
16,33501590.1,33501590.1,-20010.0,79,ER5,16
17,33481586.8,33481586.8,-20003.3,392,ER14,17
18,33461586.8,33461586.8,-20000.0,64,ER14,18
19,33441586.8,33441586.8,-20000.0,135,ER3,19
20,33411602.400000002,33411602.400000002,-29984.4,365,ER14,20
21,33391589.400000002,33391589.400000002,-20013.0,75,ER3,20
22,33371577.400000002,33371577.400000002,-20012.0,313,ER3,20
23,33351579.400000002,33351579.400000002,-19998.0,368,ER4,20
24,33331582.400000002,33331582.400000002,-19997.0,193,ER2,20
25,33311593.000000004,33311593.000000004,-19989.4,149,ER9,20
26,33291607.000000004,33291607.000000004,-19986.0,136,ER13,20
27,33271630.600000005,33271630.600000005,-19976.4,403,ER3,20
28,33251656.600000005,33251656.600000005,-19974.0,69,ER5,20
29,33231685.800000004,33231685.800000004,-19970.8,174,ER14,20
30,33221670.800000004,33221670.800000004,-10015.0,111,ER14,20
31,33211658.600000005,33211658.600000005,-10012.2,106,ER9,20
32,33201646.600000005,33201646.600000005,-10012.0,326,ER3,20
33,33191634.600000005,33191634.600000005,-10012.0,197,ER7,20
34,33181623.100000005,33181623.100000005,-10011.5,412,ER5,20
35,33171618.700000007,33171618.700000007,-10004.4,342,ER3,20
36,33161615.30000001,33161615.30000001,-10003.4,334,ER4,20
37,33151612.700000007,33151612.700000007,-10002.6,176,ER10,20
38,33141612.200000007,33141612.200000007,-10000.5,358,ER7,20
39,33131612.100000005,33131612.100000005,-10000.1,422,ER10,20
40,33121612.100000005,33121612.100000005,-10000.0,112,ER10,20
41,33111612.100000005,33111612.100000005,-10000.0,375,ER6,20
42,33101612.900000006,33101612.900000006,-9999.2,169,ER14,20
43,33091614.900000006,33091614.900000006,-9998.0,367,ER1,20
44,33081617.400000006,33081617.400000006,-9997.5,370,ER12,20
45,33071626.400000006,33071626.400000006,-9991.0,340,ER13,20
46,33061636.400000006,33061636.400000006,-9990.0,62,ER10,20
47,33051624.400000006,33051624.400000006,-10012.0,282,ER12,20
48,33041624.400000006,33041624.400000006,-10000.0,64,ER10,20
49,33031634.900000006,33031634.900000006,-9989.5,395,ER1,20
50,31991645.9,31991645.9,-9989.0,302,ER7,20
51,31981648.9,31981648.9,-9997.0,309,ER12,20
52,31971660.099999998,31971660.099999998,-9988.8,116,ER11,20
53,31961661.299999997,31961661.299999997,-9998.8,203,ER12,20
54,31951664.9,31951664.9,-9996.4,287,ER11,20
55,31941676.099999998,31941676.099999998,-9988.8,396,ER9,20
56,31931666.099999998,31931666.099999998,-10010.0,119,ER14,20
57,31921677.599999998,31921677.599999998,-9988.5,378,ER12,20
58,31911681.599999998,31911681.599999998,-9996.0,380,ER13,20
59,31901693.799999997,31901693.799999997,-9987.8,178,ER4,20
60,31891706.4,31891706.4,-9987.4,254,ER11,20
61,31881719.4,31881719.4,-9987.0,335,ER1,20
62,31871732.4,31871732.4,-9987.0,393,ER12,20
63,31861746.4,31861746.4,-9986.0,314,ER12,20
64,31851758.9,31851758.9,-9987.5,275,ER7,20
65,31841773.5,31841773.5,-9985.4,92,ER6,20
66,31831788.5,31831788.5,-9985.0,130,ER8,20
67,31821804.5,31821804.5,-9984.0,268,ER13,20
68,31811825.5,31811825.5,-9979.0,47,ER16,20
69,31801843.0,31801843.0,-9982.5,82,ER15,20
70,31791854.0,31791854.0,-9989.0,83,ER16,20
71,31781871.5,31781871.5,-9982.5,320,ER5,20
72,31771894.1,31771894.1,-9977.4,139,ER11,20
73,31761919.1,31761919.1,-9975.0,143,ER12,20
74,31751946.1,31751946.1,-9973.0,417,ER5,20
75,31741973.1,31741973.1,-9973.0,129,ER5,20
76,31732001.1,31732001.1,-9972.0,187,ER12,20
77,31731979.700000003,31731979.700000003,-21.4,164,ER6,20
78,31731965.700000003,31731965.700000003,-14.000000000000002,174,ER10,20
79,31721981.700000003,31721981.700000003,-9984.0,161,ER14,20
80,31711998.1,31711998.1,-9983.6,224,ER6,20
81,31711976.900000002,31711976.900000002,-21.2,151,ER9,20
82,31711962.900000002,31711962.900000002,-14.0,354,ER2,20
83,31711949.400000002,31711949.400000002,-13.5,416,ER5,20
84,31711936.400000002,31711936.400000002,-13.0,134,ER5,20
85,31711923.6,31711923.6,-12.8,109,ER14,20
86,31711901.200000003,31711901.200000003,-22.4,409,ER11,20
87,31711887.000000004,31711887.000000004,-14.199999999999998,222,ER10,20
88,31701876.000000004,31701876.000000004,-10011.0,243,ER7,20
89,31701864.000000004,31701864.000000004,-12.0,114,ER10,20
90,31701852.000000004,31701852.000000004,-12.0,107,ER9,20
91,31691876.400000002,31691876.400000002,-9975.6,100,ER4,20
92,31691864.6,31691864.6,-11.8,408,ER3,20
93,31681888.200000003,31681888.200000003,-9976.4,105,ER11,20
94,31681876.200000003,31681876.200000003,-12.0,415,ER4,20
95,31681864.200000003,31681864.200000003,-12.0,336,ER3,20
96,31681853.200000003,31681853.200000003,-11.000000000000002,104,ER8,20
97,31681842.200000003,31681842.200000003,-11.0,137,ER11,20
98,31681831.200000003,31681831.200000003,-11.0,186,ER3,20
99,31681819.700000003,31681819.700000003,-11.5,369,ER4,20
100,31351808.7,31351808.7,-11.0,420,ER5,20
101,31351797.7,31351797.7,-11.0,357,ER2,20
102,31351787.3,31351787.3,-10.4,424,ER7,20
103,31351776.900000002,31351776.900000002,-10.4,281,ER10,20
104,31351766.900000002,31351766.900000002,-10.0,304,ER4,20
105,31351756.900000002,31351756.900000002,-10.0,89,ER8,20
106,31341768.400000002,31341768.400000002,-9988.5,179,ER7,20
107,31331756.900000002,31331756.900000002,-10011.5,180,ER7,20
108,31331746.900000002,31331746.900000002,-10.0,242,ER11,20
109,31331743.900000002,31331743.900000002,-3.0,344,ER3,20
110,31331741.700000003,31331741.700000003,-2.1999999999999993,402,ER10,20
111,31331730.700000003,31331730.700000003,-11.0,147,ER8,20
112,31321734.900000002,31321734.900000002,-9995.8,402,ER7,20
113,31321722.8,31321722.8,-12.1,422,ER7,20
114,31321720.8,31321720.8,-2.0,380,ER7,20
115,31321695.8,31321695.8,-25.0,213,ER13,20
116,31321683.8,31321683.8,-12.0,380,ER12,20
117,31321682.6,31321682.6,-1.1999999999999993,102,ER3,20
118,31321680.6,31321680.6,-2.0,360,ER12,20
119,31321669.6,31321669.6,-11.0,333,ER13,20
120,31311692.6,31311692.6,-9977.0,19,ER12,20
121,31311689.6,31311689.6,-3.0,69,ER3,20
122,31311688.400000002,31311688.400000002,-1.1999999999999993,177,ER3,20
123,31311687.900000002,31311687.900000002,-0.5,358,ER2,20
124,31311687.500000004,31311687.500000004,-0.40000000000000036,85,ER10,20
125,31311674.500000004,31311674.500000004,-13.0,203,ER3,20
126,31311674.300000004,31311674.300000004,-0.1999999999999993,401,ER12,20
127,31311674.200000003,31311674.200000003,-0.10000000000000142,123,ER8,20
128,31311671.800000004,31311671.800000004,-2.3999999999999986,187,ER11,20
129,31311659.300000004,31311659.300000004,-12.5,146,ER12,20
130,31311659.300000004,31311659.300000004,0.0,101,ER4,20
131,31311658.600000005,31311658.600000005,-0.6999999999999993,99,ER7,20
132,31311658.600000005,31311658.600000005,0.0,140,ER3,20
133,31311658.600000005,31311658.600000005,0.0,140,ER7,20
134,31311658.600000005,31311658.600000005,0.0,346,ER3,20
135,31311658.600000005,31311658.600000005,0.0,346,ER4,20
136,31311658.600000005,31311658.600000005,0.0,343,ER1,20
137,31311658.600000005,31311658.600000005,0.0,343,ER7,20
138,31311658.600000005,31311658.600000005,0.0,338,ER8,20
139,31311658.600000005,31311658.600000005,0.0,338,ER2,20
140,31311658.600000005,31311658.600000005,0.0,364,ER14,20
141,31311658.600000005,31311658.600000005,0.0,364,ER11,20
142,31311658.600000005,31311658.600000005,0.0,68,ER3,20
143,31311657.100000005,31311657.100000005,-1.5,366,ER8,20
144,31311657.100000005,31311657.100000005,0.0,285,ER7,20
145,31311657.100000005,31311657.100000005,0.0,285,ER2,20
