appt_id,provider,day_of_week,original_duration_min,buffered_duration_min,extra_minutes,reason
587,HPW202,Tuesday,60,66,6,direct_buffer_conflict
588,HPW202,Tuesday,60,66,6,cascade_conflict
589,HPW202,Tuesday,10,11,1,cascade_conflict
590,HPW202,Tuesday,60,66,6,direct_buffer_conflict
591,HPW202,Tuesday,10,11,1,direct_buffer_conflict
592,HPW202,Tuesday,60,66,6,direct_buffer_conflict
593,HPW202,Tuesday,60,66,6,cascade_conflict
637,HPW210,Tuesday,30,33,3,direct_buffer_conflict
638,HPW210,Tuesday,30,33,3,cascade_conflict
639,HPW210,Tuesday,30,33,3,direct_buffer_conflict
640,HPW210,Tuesday,5,5,0,direct_buffer_conflict
641,HPW210,Tuesday,30,33,3,direct_buffer_conflict
642,HPW210,Tuesday,30,33,3,direct_buffer_conflict
643,HPW210,Tuesday,30,33,3,direct_buffer_conflict
644,HPW210,Tuesday,30,33,3,direct_buffer_conflict
649,HPW213,Tuesday,60,66,6,cascade_conflict
650,HPW213,Tuesday,10,11,1,direct_buffer_conflict
651,HPW213,Tuesday,10,11,1,direct_buffer_conflict
656,HPW216,Tuesday,30,33,3,cascade_conflict
657,HPW216,Tuesday,30,33,3,direct_buffer_conflict
658,HPW216,Tuesday,10,11,1,direct_buffer_conflict
659,HPW216,Tuesday,10,11,1,direct_buffer_conflict
660,HPW216,Tuesday,30,33,3,direct_buffer_conflict
679,HPW218,Tuesday,15,16,1,direct_buffer_conflict
680,HPW218,Tuesday,15,16,1,direct_buffer_conflict
681,HPW218,Tuesday,15,16,1,direct_buffer_conflict
682,HPW218,Tuesday,15,16,1,direct_buffer_conflict
683,HPW218,Tuesday,15,16,1,cascade_conflict
700,HPW201,Wednesday,15,16,1,direct_buffer_conflict
701,HPW201,Wednesday,15,16,1,direct_buffer_conflict
702,HPW201,Wednesday,5,5,0,direct_buffer_conflict
703,HPW201,Wednesday,5,5,0,direct_buffer_conflict
704,HPW201,Wednesday,5,5,0,direct_buffer_conflict
705,HPW201,Wednesday,15,16,1,cascade_conflict
706,HPW201,Wednesday,15,16,1,direct_buffer_conflict
707,HPW201,Wednesday,15,16,1,direct_buffer_conflict
708,HPW201,Wednesday,15,16,1,direct_buffer_conflict
709,HPW201,Wednesday,15,16,1,direct_buffer_conflict
710,HPW201,Wednesday,15,16,1,direct_buffer_conflict
