appt_id,provider,day_of_week,original_duration_min,buffered_duration_min,extra_minutes,reason
84,HPW103,Monday,30,33,3,direct_buffer_conflict
85,HPW103,Monday,5,5,0,direct_buffer_conflict
86,HPW103,Monday,30,33,3,direct_buffer_conflict
87,HPW103,Monday,5,5,0,direct_buffer_conflict
88,HPW103,Monday,30,33,3,direct_buffer_conflict
89,HPW103,Monday,30,33,3,direct_buffer_conflict
90,HPW103,Wednesday,30,33,3,direct_buffer_conflict
91,HPW103,Wednesday,30,33,3,direct_buffer_conflict
92,HPW103,Wednesday,30,33,3,direct_buffer_conflict
93,HPW103,Wednesday,60,66,6,direct_buffer_conflict
94,HPW103,Thursday,5,5,0,direct_buffer_conflict
95,HPW103,Thursday,5,5,0,direct_buffer_conflict
96,HPW103,Thursday,30,33,3,direct_buffer_conflict
97,HPW103,Thursday,5,5,0,direct_buffer_conflict
98,HPW103,Thursday,30,33,3,direct_buffer_conflict
103,HPW104,Monday,15,16,1,direct_buffer_conflict
104,HPW104,Monday,15,16,1,direct_buffer_conflict
105,HPW104,Monday,15,16,1,direct_buffer_conflict
106,HPW104,Monday,15,16,1,cascade_conflict
107,HPW104,Monday,15,16,1,direct_buffer_conflict
108,HPW104,Monday,15,16,1,direct_buffer_conflict
109,HPW104,Monday,15,16,1,direct_buffer_conflict
126,HPW104,Friday,15,16,1,direct_buffer_conflict
127,HPW104,Friday,15,16,1,direct_buffer_conflict
128,HPW104,Friday,10,11,1,direct_buffer_conflict
129,HPW104,Friday,10,11,1,direct_buffer_conflict
130,HPW104,Friday,5,5,0,direct_buffer_conflict
131,HPW104,Friday,5,5,0,direct_buffer_conflict
132,HPW104,Friday,5,5,0,direct_buffer_conflict
133,HPW104,Friday,15,16,1,direct_buffer_conflict
134,HPW104,Friday,15,16,1,direct_buffer_conflict
136,HPW105,Wednesday,60,66,6,cascade_conflict
137,HPW105,Wednesday,10,11,1,direct_buffer_conflict
138,HPW105,Wednesday,40,44,4,direct_buffer_conflict
139,HPW105,Wednesday,30,33,3,direct_buffer_conflict
140,HPW105,Wednesday,30,33,3,direct_buffer_conflict
141,HPW105,Wednesday,30,33,3,direct_buffer_conflict
142,HPW105,Thursday,30,33,3,direct_buffer_conflict
143,HPW105,Thursday,10,11,1,direct_buffer_conflict
144,HPW105,Thursday,30,33,3,direct_buffer_conflict
145,HPW105,Thursday,30,33,3,cascade_conflict
146,HPW105,Thursday,10,11,1,direct_buffer_conflict
147,HPW105,Thursday,30,33,3,direct_buffer_conflict
165,HPW106,Thursday,30,33,3,direct_buffer_conflict
166,HPW106,Thursday,30,33,3,direct_buffer_conflict
167,HPW106,Thursday,30,33,3,direct_buffer_conflict
168,HPW106,Thursday,30,33,3,direct_buffer_conflict
169,HPW106,Thursday,30,33,3,direct_buffer_conflict
170,HPW106,Thursday,10,11,1,direct_buffer_conflict
171,HPW106,Thursday,30,33,3,direct_buffer_conflict
172,HPW106,Thursday,10,11,1,direct_buffer_conflict
173,HPW107,Monday,30,33,3,direct_buffer_conflict
174,HPW107,Monday,30,33,3,direct_buffer_conflict
175,HPW107,Monday,30,33,3,direct_buffer_conflict
176,HPW107,Monday,10,11,1,direct_buffer_conflict
183,HPW108,Wednesday,30,33,3,direct_buffer_conflict
184,HPW108,Wednesday,30,33,3,direct_buffer_conflict
185,HPW108,Wednesday,40,44,4,direct_buffer_conflict
186,HPW108,Wednesday,30,33,3,direct_buffer_conflict
187,HPW108,Wednesday,30,33,3,direct_buffer_conflict
188,HPW108,Wednesday,30,33,3,direct_buffer_conflict
189,HPW108,Wednesday,30,33,3,direct_buffer_conflict
190,HPW108,Wednesday,30,33,3,direct_buffer_conflict
191,HPW108,Wednesday,10,11,1,direct_buffer_conflict
192,HPW108,Thursday,30,33,3,direct_buffer_conflict
193,HPW108,Thursday,30,33,3,direct_buffer_conflict
194,HPW108,Thursday,30,33,3,direct_buffer_conflict
195,HPW108,Thursday,30,33,3,direct_buffer_conflict
196,HPW108,Thursday,30,33,3,direct_buffer_conflict
197,HPW108,Thursday,30,33,3,direct_buffer_conflict
198,HPW108,Thursday,60,66,6,direct_buffer_conflict
199,HPW108,Thursday,10,11,1,direct_buffer_conflict
221,HPW111,Monday,30,33,3,direct_buffer_conflict
222,HPW111,Monday,30,33,3,direct_buffer_conflict
223,HPW111,Monday,30,33,3,direct_buffer_conflict
224,HPW111,Monday,30,33,3,direct_buffer_conflict
225,HPW111,Monday,30,33,3,direct_buffer_conflict
226,HPW111,Monday,30,33,3,direct_buffer_conflict
227,HPW111,Monday,60,66,6,direct_buffer_conflict
228,HPW111,Monday,30,33,3,direct_buffer_conflict
229,HPW111,Monday,30,33,3,direct_buffer_conflict
241,HPW111,Friday,30,33,3,direct_buffer_conflict
242,HPW111,Friday,30,33,3,direct_buffer_conflict
243,HPW111,Friday,10,11,1,direct_buffer_conflict
244,HPW111,Friday,30,33,3,direct_buffer_conflict
245,HPW111,Friday,10,11,1,direct_buffer_conflict
246,HPW111,Friday,30,33,3,direct_buffer_conflict
261,HPW113,Monday,30,33,3,cascade_conflict
262,HPW113,Monday,30,33,3,direct_buffer_conflict
263,HPW113,Monday,30,33,3,direct_buffer_conflict
264,HPW113,Monday,30,33,3,direct_buffer_conflict
265,HPW113,Monday,30,33,3,direct_buffer_conflict
266,HPW113,Monday,30,33,3,direct_buffer_conflict
267,HPW113,Monday,30,33,3,direct_buffer_conflict
277,HPW113,Friday,30,33,3,direct_buffer_conflict
278,HPW113,Friday,30,33,3,direct_buffer_conflict
279,HPW113,Friday,10,11,1,direct_buffer_conflict
280,HPW113,Friday,30,33,3,direct_buffer_conflict
281,HPW113,Friday,30,33,3,direct_buffer_conflict
