iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
1,36680577.7,36680577.7,-119973.0,376,ER13,1
2,36570583.1,36570583.1,-109994.6,66,ER9,2
3,36480568.9,36480568.9,-90014.2,65,ER9,3
4,36390600.1,36390600.1,-89968.8,84,ER14,4
5,36310612.1,36310612.1,-79988.0,275,ER4,5
6,36250637.1,36250637.1,-59975.0,213,ER8,6
7,36200637.1,36200637.1,-50000.0,87,ER14,7
8,36150644.1,36150644.1,-49993.0,285,ER13,8
9,36100651.1,36100651.1,-49993.0,295,ER13,9
10,36060653.6,36060653.6,-39997.5,141,ER8,10
11,36020664.1,36020664.1,-39989.5,205,ER15,11
12,35980676.1,35980676.1,-39988.0,245,ER4,12
13,35940689.6,35940689.6,-39986.5,148,ER13,13
14,35900708.0,35900708.0,-39981.6,419,ER6,14
15,35860730.4,35860730.4,-39977.6,332,ER10,15
16,35820754.8,35820754.8,-39975.6,230,ER6,16
17,35780779.8,35780779.8,-39975.0,192,ER5,17
18,35740805.0,35740805.0,-39974.8,243,ER10,18
19,35710794.0,35710794.0,-30011.0,377,ER13,19
20,35680794.0,35680794.0,-30000.0,64,ER9,20
21,35650805.5,35650805.5,-29988.5,203,ER7,20
22,35620818.7,35620818.7,-29986.8,420,ER9,20
23,35590833.7,35590833.7,-29985.0,171,ER5,20
24,35560851.7,35560851.7,-29982.0,232,ER12,20
25,35530871.7,35530871.7,-29980.0,81,ER15,20
26,35500871.7,35500871.7,-30000.0,83,ER15,20
27,35470896.7,35470896.7,-29975.0,396,ER8,20
28,35440925.900000006,35440925.900000006,-29970.8,236,ER6,20
29,35420911.7,35420911.7,-20014.2,418,ER9,20
30,35400900.5,35400900.5,-20011.2,347,ER10,20
31,35380899.5,35380899.5,-20001.0,342,ER7,20
32,35360899.5,35360899.5,-20000.0,172,ER5,20
33,35340899.5,35340899.5,-20000.0,399,ER8,20
34,35320899.5,35320899.5,-20000.0,398,ER8,20
35,35300899.5,35300899.5,-20000.0,89,ER14,20
36,35280900.0,35280900.0,-19999.5,194,ER8,20
37,35260901.2,35260901.2,-19998.8,312,ER10,20
38,35240904.800000004,35240904.800000004,-19996.4,308,ER11,20
39,35220909.00000001,35220909.00000001,-19995.8,292,ER10,20
40,35200921.50000001,35200921.50000001,-19987.5,209,ER8,20
41,35180934.10000001,35180934.10000001,-19987.4,389,ER10,20
42,35160947.10000001,35160947.10000001,-19987.0,274,ER5,20
43,35140960.80000001,35140960.80000001,-19986.3,169,ER6,20
44,35120983.80000001,35120983.80000001,-19977.0,129,ER5,20
45,35101011.80000001,35101011.80000001,-19972.0,293,ER13,20
46,35081041.000000015,35081041.000000015,-19970.8,227,ER14,20
47,35061071.80000001,35061071.80000001,-19969.2,58,ER15,20
48,35051056.40000001,35051056.40000001,-10015.4,59,ER15,20
49,35041044.60000002,35041044.60000002,-10011.8,341,ER11,20
50,31141034.200000003,31141034.200000003,-10010.4,324,ER10,20
51,31131034.200000003,31131034.200000003,-10000.0,283,ER10,20
52,31111057.200000003,31111057.200000003,-19977.0,270,ER7,20
53,31101057.200000003,31101057.200000003,-10000.0,299,ER13,20
54,31091057.200000003,31091057.200000003,-10000.0,56,ER15,20
55,31081057.200000003,31081057.200000003,-10000.0,45,ER15,20
56,31071057.200000003,31071057.200000003,-10000.0,224,ER14,20
57,31061057.200000003,31061057.200000003,-10000.0,235,ER6,20
58,31051057.200000003,31051057.200000003,-10000.0,206,ER15,20
59,31041058.200000003,31041058.200000003,-9999.0,300,ER10,20
60,31031059.200000003,31031059.200000003,-9999.0,298,ER8,20
61,31021060.400000002,31021060.400000002,-9998.8,297,ER9,20
62,31011059.400000002,31011059.400000002,-10001.0,305,ER10,20
63,31001060.900000002,31001060.900000002,-9998.5,215,ER13,20
64,30991070.900000002,30991070.900000002,-9990.0,200,ER3,20
65,30981081.400000002,30981081.400000002,-9989.5,168,ER7,20
66,30971084.000000004,30971084.000000004,-9997.4,165,ER11,20
67,30961094.600000005,30961094.600000005,-9989.4,259,ER10,20
68,30951105.700000007,30951105.700000007,-9988.9,384,ER10,20
69,30941116.900000006,30941116.900000006,-9988.8,391,ER9,20
70,30931127.900000006,30931127.900000006,-9989.0,102,ER3,20
71,30921140.100000005,30921140.100000005,-9987.8,422,ER4,20
72,30911153.100000005,30911153.100000005,-9987.0,151,ER7,20
73,30901166.300000004,30901166.300000004,-9986.8,84,ER6,20
74,30891177.000000004,30891177.000000004,-9989.3,423,ER5,20
75,30881190.500000004,30881190.500000004,-9986.5,271,ER13,20
76,30871204.200000003,30871204.200000003,-9986.3,72,ER6,20
77,30851230.200000003,30851230.200000003,-19974.0,138,ER8,20
78,30841244.200000003,30841244.200000003,-9986.0,62,ER1,20
79,30831258.300000004,30831258.300000004,-9985.9,60,ER14,20
80,30821268.300000004,30821268.300000004,-9990.0,63,ER9,20
81,30811267.300000004,30811267.300000004,-10001.0,322,ER7,20
82,30801281.900000006,30801281.900000006,-9985.4,237,ER6,20
83,30791294.300000004,30791294.300000004,-9987.6,172,ER14,20
84,30781309.300000004,30781309.300000004,-9985.0,292,ER13,20
85,30771321.300000004,30771321.300000004,-9988.0,335,ER10,20
